Name;X1;X2;X3;W1;W2;W3;Y1;Y2;P1;P2
Export-Import Bank;25019;201.9992335;505;0.018585875;1.7178283;0.245544554;3125;81996;0.00992;0.01250061
Bank of Taiwan;3171493;7950.957572;76576;0.007693853;1.434041107;0.072960196;904580;2091100;0.009307082;0.015584142
Taipei Fubon Bank;1222499;6434.014909;12082;0.005003685;1.003572434;0.590051316;392491;866282;0.013230877;0.01640228
Bank of Kaohsiung;189169;913.995274;2237;0.005455439;1.389503902;0.249888243;16740;163054;0.024253286;0.015645124
Land Bank;1846028;5732.011599;22634;0.006637494;1.465628576;0.193690907;227086;1706964;0.014087174;0.016583244
Cooperative Bank;2220071;8835.035971;33638;0.006960588;1.453757522;0.169867412;502569;1799753;0.007411918;0.017660757
First Bank;1602733;7048.000275;22843;0.004932824;1.342224692;0.207766055;507630;1260072;0.009881213;0.017513285
Hua Nan Bank;1595039;7125.987728;24907;0.005265702;1.330482224;0.200505882;393020;1256618;0.013660882;0.016153676
Chang Hwa Bank;1267731;6427.994894;23778;0.00508152;1.317518159;0.169400286;257105;1060005;0.014993874;0.016776336
Mega Bank;1589474;5033.0027;13568;0.006125297;2.166102553;0.588664505;344886;1332661;0.014674414;0.018330243
Cathay United Bank;1349708;6061.996359;25285;0.004924769;1.216760876;0.293889658;162490;891448;0.045750508;0.016232018
The Shanghai Bank;577127;2264.998626;10190;0.00431101;1.243709364;0.170951914;229432;392894;0.009344817;0.017997221
Union Bank;295386;2974.98888;8051;0.007962463;0.71697747;0.311886722;13865;191209;0.304363505;0.023471699
Far Eastern Bank;344499;2377.992287;2855;0.006542835;1.166530276;0.762521891;290831;239958;0.005893457;0.020428575
E. Sun Bank;936612;4582.997883;14195;0.005231622;0.961597651;0.357308912;357497;602776;0.01527845;0.018993789
Cosmos Bank;109728;1684.996964;6162;0.008940289;1.132346254;0.301687764;1681;70222;0.254610351;0.068682179
Taishin Bank;741883;6235.997875;17278;0.004952263;1.032392911;0.334297951;203118;539549;0.019220355;0.023009958
Ta Chong Bank;322836;3215.000527;3208;0.006257047;1.00217713;0.679862843;109832;262868;0.011863573;0.022399075
Jih Sun Bank;182228;1529.010239;4238;0.005498606;0.893388393;0.37517697;26690;129907;0.023979018;0.019852664
Entie Bank;298330;1944.99634;2114;0.006335266;0.897688065;0.52743614;31500;197734;0.016063492;0.024800995
China Trust Bank;1335080;9537.981519;32436;0.00592399;1.633259612;0.408373412;506711;949894;0.015942026;0.022220374
Sunny Bank;213037;1789.97234;9116;0.007059807;0.881019201;0.090939008;5532;173909;0.0280188;0.022845281
Bank of Panhsin;143268;1270.007872;7416;0.007007845;0.865348967;0.099919094;2272;107411;0.032570423;0.025602592
Taiwan Business Bank;1035800;5010.024269;14185;0.006137285;1.35009326;0.20965809;157870;935304;0.012275923;0.0172329
Taichung Bank;313451;1829.012501;3243;0.004833291;0.960080917;0.309589886;14528;247600;0.010531388;0.022685784
China Development ;77242;567.0001027;1219;0.002498641;2.29629588;0.366694011;114442;72326;0.006413729;0.01574814
Hwatai Bank;105657;855.9893704;1667;0.006899685;1.022208955;0.275344931;3121;88922;0.009612304;0.025348058
Cota Bank;108685;1077.996195;1113;0.006716658;0.86735;0.371069182;3709;85595;0.033162578;0.025235119
Industrial Bank of Taiwan;76383;281.9997476;2605;0.008313368;2.095746556;0.15547025;32293;66947;0.011055027;0.018223371
Bank SinoPac;936418;4669.984852;8721;0.005015922;1.298291149;0.413714024;267021;700600;0.017182169;0.019032258
Shin Kong Bank;428995;3146.002317;7123;0.005165561;0.863635727;0.326407413;17372;328574;0.068098089;0.02143505